"GIFT","AGE","EDUCA","SEX","STATE","INCLASS","topic_1","topic_2","topic_3"
"1",1.11501488503525,"5","couple","47","6",0.632445439436933,-1.25338465992525,0.822844880189254
"1",0.828498027908128,"5","couple","42","8",-0.0493515185163854,0.912329955009338,-0.432921015222562
"1",0.828498027908128,"5","couple","42","8",1.05342127712844,-0.202384137451806,0.0332213045415813
"1",-0.877144753702627,"8","female","13","9",-0.535843695862949,-0.420053291659996,0.925820121209647
"1",0.759186707829254,"5","couple","4","4",NA,NA,NA
"1",-0.792281645526427,"7","male","17","9",-0.65612341608845,1.50634917506576,-1.65807993422545
"1",-1.43491771912833,"7","couple","27","9",-0.00701260669108004,-0.169806888178124,0.639837804188388
"1",1.59264304647235,"7","couple","0","7",0.989869167012489,-0.286176098055821,0.150738920268413
"1",0.928381453451674,"4","female","48","8",0.33973052649603,0.361151290639052,0.05995167590947
"1",0.723659722413116,"8","couple","41","9",1.34751160724534,0.405050996303882,-1.1104175976713
"1",0.723659722413116,"8","couple","41","9",0.573793441885832,0.102673158218898,0.154604445988456
"1",-0.410562259031756,"5","female","12","4",0.512552481506007,0.132608904805713,0.168464702614506
"1",-1.42664449575447,"5","female","48","8",1.65502079864238,-0.159131852875422,-0.794185905799788
"1",-1.42664449575447,"5","female","48","8",NA,NA,NA
"1",-0.0978878192461088,"8","male","0","7",-0.756939052959661,-0.427651596917013,0.975253034841279
"1",1.18816425587104,"8","couple","25","6",-0.629958434469844,-1.36693397114783,1.2511514134441
"1",1.10007626544908,"7","couple","51","9",-0.0399608706108807,0.762595153028991,-0.203681393121652
"1",-1.59859338622729,"4","female","13","5",-0.274921408865095,1.15283677961697,-0.769747010041235
"1",1.59264304647235,"8","male","55","6",0.621213781536375,1.11528169180949,-1.73158815578441
"1",-0.320599496093426,"7","couple","42","9",-0.115174571589738,1.11867480985529,-0.802767412199474
"1",-0.705991873735787,"7","male","0","6",-0.318657002542429,-0.102041649573542,0.703527413962811
"1",-0.380147261291236,"7","female","24","9",-1.34201229696918,0.468075974146111,0.510417345899517
"1",1.28649853816193,"8","female","0","8",NA,NA,NA
"1",0.394827397988988,"7","couple","13","6",0.285508043167313,0.448360287101575,8.37276679968852e-05
"1",0.575261548075018,"5","couple","12","9",1.08294058539108,-0.13562465380503,-0.0488991868605827
"1",0.650762640874474,"7","couple","6","9",-0.933381233510117,0.666458791361495,0.246142763516234
"1",0.741497852523626,"8","couple","48","9",0.826009817018096,0.645705343370223,-0.747784178643693
"1",-0.262683383522862,"8","couple","53","9",1.15445014240953,0.4870046101068,-0.920776620116525
"1",-1.56306640081115,"8","female","51","9",-0.629433862883249,0.516238153416712,0.321820090751048
"1",-1.56306640081115,"8","female","51","9",-1.68353436377844,-0.318954879406447,1.04049080008571
"1",-0.380147261291236,"7","male","48","8",0.121997104843189,1.45254319133505,-2.94902739556416
"1",0.895608612885931,"8","couple","27","4",-0.781307873250483,1.16330737138498,-0.52987138591256
"1",0.233987627171356,"6","female","24","9",0.917641388124988,-0.488433385869721,0.336181527568539
"1",-0.777653172793373,"6","female","6","9",-0.148793351365581,-0.301661229039774,0.76245910981364
"1",0.00524511635112664,"8","male","29","9",0.381720972072554,-0.26514187412297,0.528419314390205
"1",-1.22217684319133,"4","couple","0","2",0.788786276511362,0.681091900208148,-0.767650975132113
"1",-0.17868004340311,"5","couple","17","5",-0.076493599182848,-0.83725291163379,0.970228952389661
"1",-0.17868004340311,"5","couple","17","5",-0.546317884604258,-0.801542452657722,1.07870034622781
"1",0.536475030981938,"3","female","55","4",0.347223896715786,1.13753457600291,-1.33170510794596
"1",0.536475030981938,"3","female","55","4",-1.17639379732009,-0.584437864066702,1.10408884872126
"1",-1.84532584285628,"6","female","6","9",0.84203112694547,0.0103268190704928,0.0378288269255476
"1",-1.84532584285628,"8","male","36","9",0.418845902300102,1.07024056947877,-1.21630705332193
"1",0.94457927887022,"7","couple","45","6",0.75187919647492,0.535452333322372,-0.481042497974087
"1",0.94457927887022,"7","couple","45","6",1.59207355940184,-0.0761210647788555,-0.783968978141943
"1",-0.262683383522862,"7","male","48","9",-0.586893846883489,0.203541603019796,0.575033928372939
"1",0.456699304018673,"5","male","41","8",0.809016797261585,0.571103471818457,-0.598318825152104
"1",0.650762640874474,"7","couple","9","9",-0.525756850510129,-0.162037699930445,0.793856085434851
